Timestamp,AssetTag,SensorName,Value,Unit,Quality,Status
2026-07-23T10:00:00Z,Pump-002,DB1.DBD4_Bearing_Temp,68.4,C,GOOD,NORMAL
2026-07-23T10:00:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.18,mm/s,GOOD,NORMAL
2026-07-23T10:00:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,786.9,C,GOOD,HIGH
2026-07-23T10:00:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,520.4,bar,GOOD,NORMAL
2026-07-23T10:00:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1420.5,m3/h,GOOD,NORMAL
2026-07-23T10:05:00Z,Pump-002,DB1.DBD4_Bearing_Temp,69.1,C,GOOD,NORMAL
2026-07-23T10:05:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.22,mm/s,GOOD,NORMAL
2026-07-23T10:05:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,792.1,C,GOOD,HIGH
2026-07-23T10:05:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,522.1,bar,GOOD,NORMAL
2026-07-23T10:05:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1418.2,m3/h,GOOD,NORMAL
2026-07-23T10:10:00Z,Pump-002,DB1.DBD4_Bearing_Temp,71.5,C,GOOD,WARNING
2026-07-23T10:10:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.35,mm/s,GOOD,WARNING
2026-07-23T10:10:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,805.4,C,GOOD,CRITICAL
2026-07-23T10:10:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,535.8,bar,GOOD,WARNING
2026-07-23T10:10:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1405.0,m3/h,GOOD,NORMAL
2026-07-23T10:15:00Z,Pump-002,DB1.DBD4_Bearing_Temp,74.2,C,GOOD,WARNING
2026-07-23T10:15:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.48,mm/s,GOOD,WARNING
2026-07-23T10:15:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,812.0,C,GOOD,CRITICAL
2026-07-23T10:15:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,542.0,bar,GOOD,HIGH
2026-07-23T10:15:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1390.8,m3/h,GOOD,NORMAL
2026-07-23T10:20:00Z,Pump-002,DB1.DBD4_Bearing_Temp,78.9,C,GOOD,CRITICAL
2026-07-23T10:20:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.85,mm/s,GOOD,CRITICAL
2026-07-23T10:20:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,825.5,C,GOOD,CRITICAL
2026-07-23T10:20:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,555.0,bar,GOOD,CRITICAL
2026-07-23T10:20:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1380.0,m3/h,GOOD,WARNING
2026-07-23T10:25:00Z,Pump-002,DB1.DBD4_Bearing_Temp,68.0,C,GOOD,NORMAL
2026-07-23T10:25:00Z,Pump-002,DB1.DBD0_Vibration_Velocity,0.19,mm/s,GOOD,NORMAL
2026-07-23T10:25:00Z,Reactor-001,TAG-RX-01_Inlet_Temp,780.0,C,GOOD,NORMAL
2026-07-23T10:25:00Z,Reactor-001,TAG-RX-02_Vessel_Pressure,515.0,bar,GOOD,NORMAL
2026-07-23T10:25:00Z,Compressor-001,TAG-CMP-01_Discharge_Flow,1425.0,m3/h,GOOD,NORMAL
